07EV      EXTRACTOS VEGETALES           
07EW      EMPORIO WITHE MASC            
07EX      EXTRAVAGANCE FEM              
07F1      FRUTOS NEGROS                 
07F2      FRUTOS ROJOS                  
07F3      FLOR DE LOTO                  
07F4      FEUILLE                       
07F5      FRESHLY                       
07F6      FLORES BLANCAS/RETAMA         
07F7      FRESCA VERDE                  
07F8      FLORES INDIA                  
07F9      FLORES                        
07FA      FANTASIA                      
07FB      FRUTOS DEL BOSQUE             
07FC      FRESCA CARICIA                
07FD      FENDI F                       
07FE      FRESIA                        
07FF      FRUTILLA FRAMBUESA; FREEDOM   
07FG      FRESIA/GERANIO                
07FH      FLORES LAS MARIAS             
07FI      FIESTA/FIRST                  
07FJ      FAHRENHEIT 32 MASC            
07FK      FLORES Y FRUTOS               
07FL      FLORAL; FLAIT                 
07FM      FRAMBUESA                     
07FN      FLORES BLANCAS                
07FO      FORTALECEDOR/FOREST           
07FP      FLORAL PERFUMINA 1756 HT      
07FQ      FLOR DE INDIA                 
07FR      FRUTILLA                      
07FS      FRASCOS                       
07FT      FRUTAS TROPICALES             
07FU      FRUTADO                       
07FW      FRUTALIS                      
07FZ      FLOR DE ESPINILLO             
07G1      GIO FEM                       
07G2      GUILO                         
07G3      GINGER; JENGIBRE              
07G4      GARDENIA/JAZMIN/MAGNOLIA      
07GA      GARDENIA                      
07GC      GUCCI FEM                     
07GD      DREAM GIV F                   
07GE      GERANIO                       
07GF      GARDENIA/FLORES BLANCAS       
07GG      GREEN GRASS                   
07GI      GINGSENG; ADV GIRLS           
07GL      GLAMOROUS FEM                 
07GM      GARDENIA MIRRA                
07GN      GARDENIA NARANJA              
07GO      GOLDEN; GOTERO                
07GR      GARDENIA ROSA                 
07GT      GERMEN DE TRIGO               
07GU      GUARANA; GUITARRERA; GUCCI MAS
07H1      HERBAL 1                      
07H3      HERBAL 3                      
07H4      H24 CRAVO                     
07H6      HERBAL 6                      
07HA      CHANCE FEM                    
07HB      HERBALIS                      
07HC      CITRONELLA-FINAS HIERBAS      
07HD      HIEDRAS                       
07HE      HERBAL                        
07HF      HAPPI CLINIC                  
07HG      HUGO BOSS ELEMENTS MASC       
07HH      HIPERICUM/NARANJA             
07HI      HIERBAS; HIPOALARGÉNICO       
07HJ      HYPNOSE MASC                  
07HK      HENO PRAVIA                   
07HM      HIERBAS/MIEL                  
07HN      HINDS                         
07HO      HOJA SAPITO; HOJAS DE TOMATE  
07HP      HIPPIE                        
07HQ      HOTEL                         
07HS      HYPNOSE FEM                   
07HT      HADAS DE TELA                 
07HU      HUGO BOSS FEM                 
07HW      HAWAIAN                       
07HY      HYPNOTIC FEM                  
07I1      INTERNACIONAL                 
07I2      IDOLE FEM                     
07I3      INCIENSO/MIRRA/SANDALO/ALMIZCL
07I4      MIMOS GIRL                    
07I5      MIMO BOYS                     
07IB      ICE BLUE                      
07IC      INCIENSO/CANELA               
07ID      INDIAN HIDE                   
07IE      ICE MASC                      
07IG      INGLESA                       
07IH      IBIZZA HIPPIE                 
07II      INMOTION MASC                 
07IK      ISLAND KISS                   
07IM      IMPECABLE                     
07IN      INCIENSO                      
07IO      CALCIO                        
07IT      INCIENSO/TE VERDE             
07JA      JAZMIN                        
07JB      JAZMIN BLANCO                 
07JC      JACINTO                       
07JD      JACINTO-SALVIA-MANZANILLA     
07JE      JENGIBRE                      
