MATPRI    |1752TP          |ESENCIA EXTRACTO TRÉSOR FEM   |U      |    24.500|04/22/2014|T  
MATPRI    |1753TP          |ESENCIA EXTRACTO PARÍS FEM    |U      |    28.690|09/19/2013|T  
MATPRI    |1758TP          |ESENCIA EXTRACTO INSENSE MASC |U      |    43.300|02/05/2014|T  
MATPRI    |1759TP          |ESENCIA EXTRACTO ETERNITY MASC|U      |    35.500|05/20/2013|T  
MATPRI    |1769TP          |ESENCIA EXTRACTO MONTANA MASC |U      |    61.100|06/17/2013|T  
MATPRI    |1794TP          |ESENCIA EXTRACTO CAROLINA HERR|U      |    59.300|02/11/2014|T  
MATPRI    |1797TP          |ESENCIA EXTRACTO KENZO FEM    |U      |    44.000|11/20/2013|T  
MATPRI    |1798TP          |ESENCIA EXTRACTO OPIUM MASC   |U      |    79.400|04/22/2014|T  
MATPRI    |1799TP          |ESENCIA EXTRACTO ESCAPE FEM   |U      |    39.600|11/19/2013|T  
MATPRI    |1831TP          |ESENCIA EXTRACTO XS M         |U      |    50.000|02/03/2014|T  
MATPRI    |1838TP          |ESENCIA EXTRACTO MONTANA FEM  |U      |    48.400|02/11/2014|T  
MATPRI    |1859TP          |ESENCIA EXTRACTO PALOMA PICASS|U      |    56.000|05/06/2014|T  
MATPRI    |1861TP          |ESENCIA PATCHOULY MASC        |U      |    50.100|01/08/2014|T  
MATPRI    |1863TP          |ESENCIA EXTRACTO MINOTAURO MAS|U      |    55.750|09/19/2013|T  
MATPRI    |1864TP          |ESENCIA EXTRACTO AMARIQE FEM  |U      |    42.400|04/15/2014|T  
MATPRI    |1868TP          |ESENCIA CHANEL  FEM           |U      |    66.800|05/14/2014|T  
MATPRI    |1874-2TP        |ESENCIA EXTRACTO FARENHEIT MAS|U      |    47.300|02/13/2014|T  
MATPRI    |1885TP          |ESENCIA EXTRACTO HUGO BOSS MAS|U      |    46.600|02/11/2014|T  
MATPRI    |1902TP          |ESENCIA EXTRACTO AZZARO MASC  |U      |    84.300|01/09/2014|T  
MATPRI    |1903TP          |ESENCIA EXTRACTO PLEASURE FEM |U      |    31.000|05/14/2014|T  
MATPRI    |1923TP          |ESENCIA EXTRACTO GIORGIO FEM  |U      |    34.000|05/14/2014|T  
MATPRI    |1932-3TP        |ESENCIA EXTRACTO ANGEL FEM    |U      |    67.550|02/03/2014|T  
MATPRI    |1963TP          |ESENCIA EXTRACTO SENSI FEM    |U      |   106.850|05/20/2014|T  
MATPRI    |2016TP          |ESENCIA EXTRACTO CHARLY FEMENI|U      |    25.000|07/20/2012|T  
MATPRI    |2047TP          |ESENCIA EXTRACTO POLO BLUE MAS|U      |    44.900|05/20/2014|T  
MATPRI    |2077-4TP        |ESENCIA EXTRACTO HALLOWEEN FEM|U      |    30.700|11/27/2013|T  
MATPRI    |2095-5TP        |ESENCIA ANGEL MASCULINO       |U      |    42.210|02/25/2011|T  
MATPRI    |2134TP          |ESENCIA AMOR AMOR FEMENINO    |U      |    49.400|01/29/2014|T  
MATPRI    |2135TP          |ESENCIA EXTRACTO VERY IRRESIST|U      |    41.200|04/29/2014|T  
MATPRI    |2202-4TP        |ESENCIA EXTRACTO CHIC FEMENINO|U      |    47.300|04/22/2014|T  
MATPRI    |2355TP          |ESENCIA EXTRACTO RALPH FEM    |U      |    39.400|04/23/2014|T  
MATPRI    |2456TP          |ESENCIA 212 CH SEXY FEM       |U      |    44.300|05/14/2014|T  
MATPRI    |2470TP          |ESENCIA BLACK  MASC           |U      |    55.100|05/20/2014|T  
MATPRI    |2655-2TP        |ESENCIA EXTRACTO ARMANI MANIA |U      |    54.100|05/20/2014|T  
MATPRI    |2661-5TP        |ESENCIA VERY IRRESISTIBLE MASC|U      |    82.700|04/29/2014|T  
MATPRI    |2664TP          |ESENCIA EXTRACTO EUPHORIA FEM |U      |    51.340|11/19/2013|T  
MATPRI    |2681TP          |ESENCIA EXTRACTO HIGHER MASC  |U      |    64.600|09/24/2013|T  
MATPRI    |2689TP          |ESENCIA EXTRACTO BRIT FEM     |U      |    43.860|02/17/2014|T  
MATPRI    |2751TP          |ESENCIA EXTRACTO J ADORE FEM  |U      |    49.100|04/22/2014|T  
MATPRI    |2788-2TP        |ESENCIA RALPH BLUE FEM        |U      |    53.600|05/04/2014|T  
MATPRI    |2923TP          |ESENCIA EXTRACTO BE DELICIOUS |U      |    47.900|05/14/2014|T  
MATPRI    |3130-3TP        |ESENCIA EXTRACTO 212 SEXY MASC|U      |    46.500|04/29/2014|T  
MATPRI    |3131-4TP        |ESENCIA EXTRACTO AMOUR FEM    |U      |    40.000|01/20/2014|T  
MATPRI    |3307TP          |ESENCIA EXTRACTO RED DOOR FEM |U      |   140.000|04/14/2014|T  
